Day,Date,Leith Walk:  Vittoria (Springboard),Princes St:  Marks & Spencer,George Street: NatWest,"George Street: French Connection, FCUK",Rose Street: Tiso,Rose St: Jenners,South St Andrew Street: McDonalds,Shandwick Pl: Lothian Buses,Grassmarket: Grassmarket Hotel,High Street: Bella Italia
Thursday,1/11/12,"39,289","9,236","11,074","8,406","9,807","5,341","8,552","10,901",,
Friday,2/11/12,"40,076","8,598","11,531","8,075","7,083","5,128","8,847","11,540",,
Saturday,3/11/12,"44,758","9,858","14,963","10,879","9,764","4,224","11,255","13,303",,
Sunday,4/11/12,"28,643","4,662","7,445","4,982","7,125","2,716","5,276","8,503",,
Monday,5/11/12,"29,803","5,847","7,521","5,333","6,552","4,691","3,923","7,494",,
Tuesday,6/11/12,"27,301","4,175","6,849","5,394","3,601","4,438","3,335","6,572",,
Wednesday,7/11/12,"29,552","3,647","7,752","5,911","4,907","3,688","5,073","6,956",,
Thursday,8/11/12,"33,043","2,609","5,522","6,764","9,028","4,916","5,529","7,845",,
Friday,9/11/12,"34,683","5,666","10,235","8,205","6,810","4,925","6,942","9,655",,
Saturday,10/11/12,"42,969","7,207","14,393","10,216","9,380","3,224","7,121","11,681",,
Sunday,11/11/12,"31,808","4,628","9,287","8,228","6,857","5,641","6,411","9,066",,
Monday,12/11/12,"27,776","5,732","7,266","5,951","6,113","4,618","5,051","7,575",,
Tuesday,13/11/2012,"28,702","4,513","7,074","5,900","3,711","4,883","4,217","7,210",,
Wednesday,14/11/2012,"27,645","3,653","7,404","5,665","4,844","3,925","4,096","7,188",,
Thursday,15/11/2012,"35,388","5,838","9,489","6,892","8,339","4,795","5,251","7,622",,
Friday,16/11/2012,"39,663","6,451","11,337","8,852","3,823","5,298","7,174","9,442",,
Saturday,17/11/2012,"46,599","7,414","16,619","13,468","11,405","6,194","9,369","10,766",,
Sunday,18/11/2012,"32,509","3,525","9,204","7,378","13,533","2,891","6,661","8,556",,
Monday,19/11/2012,"26,552","5,945","7,695","5,818","12,642","4,225","4,190","7,198",,
Tuesday,20/11/2012,"29,622","5,657","8,402","6,438","4,891","4,659","4,519","7,062",,
Wednesday,21/11/2012,"31,368","4,905","8,653","6,652","1,833","4,966","4,707","7,254",,
Thursday,22/11/2012,"25,417","4,749","6,375","4,982","7,768","3,897","5,195","6,479",,
Friday,23/11/2012,"39,125","9,636","11,270","7,488","16,239","5,178","7,525","10,215",,
Saturday,24/11/2012,"48,584","12,395","16,840","12,192","26,446","4,605","10,315","11,428",,
Sunday,25/11/2012,"26,515","4,327","7,358","4,709","8,507","2,251","5,994","7,233",,
Monday,26/11/2012,"31,530","8,535","8,224","6,030","13,655","4,958","4,583","7,048",,
Tuesday,27/11/2012,"32,251","8,200","8,905","6,538","13,752","5,136","4,905","7,104",,
Wednesday,28/11/2012,"25,505","10,554","9,000","6,682","12,421","5,224","4,258","7,722",,
Thursday,29/11/2012,"32,258","13,609","12,004","8,315","16,163","5,158","5,891","7,784",,
Friday,30/11/2012,"41,463","13,275","13,080","9,300","13,944","5,042","7,525","10,208",,
