Day,Date,"Leith Walk:  Vittoria (Springboard)","Princes St:  Marks & Spencer","George Street: NatWest","George Street: French Connection, FCUK","Rose Street: Tiso","Rose St: Jenners","South St Andrew Street: McDonalds","Shandwick Pl: Lothian Buses","Grassmarket: Grassmarket Hotel","High Street: Bella Italia"
Friday,01/02/2013,"31,794","6,801","9,156","7,178","9,879","4,351","6,589","7,882"
Saturday,02/02/2013,"40,155","9,776","14,159","10,061","16,568","3,706","9,596","10,243"
Sunday,03/02/2013,"24,695","4,826","6,343","4,728","3,702","2,008","4,239","6,701"
Monday,04/02/2013,"21,679","5,521","5,121","4,503","9,920","3,657","2,840","5,877"
Tuesday,05/02/2013,"24,256","6,531","6,156","5,069","10,642","4,461","2,973","6,023"
Wednesday,06/02/2013,"27,041","6,482","6,884","4,397","10,838","4,415","4,840","6,700"
Thursday,07/02/2013,"29,514","7,487","8,399","5,214","11,058","4,424","4,354","6,278"
Friday,08/02/2013,"33,969","8,200","8,854","7,879","13,108","4,467","5,042","7,845"
Saturday,09/02/2013,"40,339","7,301","12,654","12,467","10,048","6,819","9,705","10,093"
Sunday,10/02/2013,"24,272","4,692","6,090","4,784","8,478","2,095","6,260","8,038"
Monday,11/02/2013,"32,473","7,828","8,098","6,677","13,407","4,466","5,993","8,424"
Tuesday,12/02/2013,"30,918","7,769","7,912","5,436","12,548","4,229","5,560","7,617"
Wednesday,13/02/2013,"24,653","4,608","5,173","4,279","7,330","3,401","3,264","6,109"
Thursday,14/02/2013,"37,392","7,478","8,595","7,303","12,651","4,279","5,938","8,164"
Friday,15/02/2013,"36,667","7,805","10,729","8,759","15,193","5,140","8,529","10,346"
Saturday,16/02/2013,"42,155","9,614","15,100","11,458","8,499","4,081","11,832","11,916"
Sunday,17/02/2013,"28,089","5,111","7,164","5,663","3,636","2,805","8,104","9,279"
Monday,18/02/2013,"31,463","7,028","8,040","6,304","11,738","5,366","6,394","8,921"
Tuesday,19/02/2013,"30,513","6,620","7,036","5,800","11,432","5,221","4,587","8,220"
Wednesday,20/02/2013,"30,320","6,404","8,170","6,527","6,097","5,041","5,663","8,386"
Thursday,21/02/2013,"31,903","7,059","8,641","6,574","12,275","5,108","5,987","7,768"
Friday,22/02/2013,"35,706","8,148","10,234","8,408","9,553","5,355","7,703","9,673"
Saturday,23/02/2013,"42,425","9,379","14,401","11,937","19,526","4,394","12,864","11,577"
Sunday,24/02/2013,"23,708","4,192","6,326","7,920","8,545","7,997","4,392","7,261"
Monday,25/02/2013,"27,940","6,676","6,431","5,921","11,186","5,088","4,413","6,560"
Tuesday,26/02/2013,"26,510","5,426","6,326","5,352","10,200","4,674","3,777","6,110"
Wednesday,27/02/2013,"28,821","5,755","6,542","5,708","8,253","4,319","5,467","6,382"
Thursday,28/02/2013,"33,002","6,298","8,149","6,546","8,458","4,528","6,023","6,860"
