Day,Date,"Leith Walk:  Vittoria (Springboard)","Princes St:  Marks & Spencer","George Street: NatWest","George Street: French Connection, FCUK","Rose Street: Tiso","Rose St: Jenners","South St Andrew Street: McDonalds","Shandwick Pl: Lothian Buses","Grassmarket: Grassmarket Hotel","High Street: Bella Italia"
Thursday,01/08/2013,"7,999","43,154","2,063","17,551","11,422","23,122","18,209","5,832","15,148","12,922"
Friday,02/08/2013,"9,225","43,505","1,951","23,002","13,119","25,035","20,777","6,590","20,735","14,712"
Saturday,03/08/2013,"9,313","44,986","4,159","26,881","15,892","24,054","21,672","5,359","25,883","11,732"
Sunday,04/08/2013,"8,245","38,747","2,991","20,623","9,327","15,079","18,729","3,993","22,049","12,858"
Monday,05/08/2013,"8,317","43,494","5,634","21,090","11,034","23,781","20,561","6,043","19,975","12,979"
Tuesday,06/08/2013,"8,648","44,669","5,697","21,703","12,598","22,430","19,971","6,176","21,556","9,448"
Wednesday,07/08/2013,"8,578","43,565","4,185","21,730","11,875","17,366","20,514","6,072","19,667","12,635"
Thursday,08/08/2013,"8,517","44,434","5,259","22,428","11,602","25,895","21,465","6,326","21,020","15,316"
Friday,09/08/2013,"9,453","46,259","5,842","26,439","12,356","26,286","22,483","6,820","23,540","21,531"
Saturday,10/08/2013,"9,021","48,307","7,135","30,244","16,738","26,384","24,438","5,619","28,958","16,824"
Sunday,11/08/2013,"8,044","39,912","5,737","21,698","9,372","19,140","19,956","4,151","21,916","16,868"
Monday,12/08/2013,"8,698","43,639","7,125","20,719","11,735","19,615","20,177","6,546","20,566","19,182"
Tuesday,13/08/2013,"9,126","45,822","6,999","23,557","12,043","19,624","21,479","6,750","21,161","19,971"
Wednesday,14/08/2013,"8,597","44,586","5,397","23,413","12,134","18,131","20,896","6,491","18,760","19,909"
Thursday,15/08/2013,"8,141","46,730","4,158","23,090","11,618","26,094","20,623","6,305","17,230","18,628"
Friday,16/08/2013,"9,277","47,275","7,859","26,645","13,748","22,679","21,979","6,988","22,305","20,177"
Saturday,17/08/2013,"9,649","47,082","6,645","29,355","14,029","26,067","22,397","5,569","26,774","22,620"
Sunday,18/08/2013,"8,224","40,156","6,760","21,948","8,776","17,058","19,245","4,009","21,138","20,231"
Monday,19/08/2013,"8,330","44,698","7,861","20,048","11,231","18,022","19,216","6,366","18,643","16,352"
Tuesday,20/08/2013,"7,733","43,045","7,617","19,684","10,969","16,716","19,115","6,144","15,850","17,260"
Wednesday,21/08/2013,"8,528","42,903","4,669","21,309","10,817","21,869","19,095","6,111","18,547","20,007"
Thursday,22/08/2013,"8,375","45,762","7,732","21,487","11,716","18,690","19,578","6,214","17,925","19,737"
Friday,23/08/2013,"9,442","45,459","5,916","23,672","13,695","22,003","21,200","6,999","19,647","20,927"
Saturday,24/08/2013,"9,434","48,546","7,788","29,603","17,672","29,624","24,704","5,719","27,445","19,157"
Sunday,25/08/2013,"8,199","39,433","5,118","19,991","10,069","16,056","19,139","4,005","20,160","13,315"
Monday,26/08/2013,"8,256","37,492","5,009","13,359","10,305","17,805","16,474","5,623","13,869","16,718"
Tuesday,27/08/2013,"7,933","37,754","5,720","11,132","9,544","16,642","15,187","5,498","9,935","13,202"
Wednesday,28/08/2013,"7,378","39,112","4,849","10,935","8,885","15,214","15,335","6,237","10,806","13,947"
Thursday,29/08/2013,"7,249","40,228","5,665","10,824","9,377","17,023","15,495","5,777","9,415","13,637"
Friday,30/08/2013,"8,129","40,187","4,907","12,390","10,199","18,709","16,902","4,118","11,377","13,005"
Saturday,31/08/2013,"8,737","42,515","7,131","13,791","12,336","13,642","16,417","4,245","11,529","14,584"
