Day,Date,"Leith Walk:  Vittoria (Springboard)","Princes St:  Marks & Spencer","George Street: NatWest","George Street: French Connection, FCUK","Rose Street: Tiso","Rose St: Jenners","South St Andrew Street: McDonalds","Shandwick Pl: Lothian Buses","Grassmarket: Grassmarket Hotel","High Street: Bella Italia"
Wednesday,01/10/2014,"7,219","33,319","2,989","8,504","6,157","5,391","13,423","5,864","10,327"
Thursday,02/10/2014,"7,157","35,448","4,742","9,194","6,840","9,653","15,246","6,141","10,521"
Friday,03/10/2014,"5,675","30,911","3,970","8,284","5,440","3,958","14,427","6,087","9,291"
Saturday,04/10/2014,"7,657","43,472","11,682","13,474","10,038","16,657","17,166","9,249","11,381"
Sunday,05/10/2014,"6,445","31,674","7,341","8,820","5,718","13,111","14,130","6,745","9,708"
Monday,06/10/2014,"6,220","28,352","8,720","7,824","5,522","9,900","13,371","5,501","8,904"
Tuesday,07/10/2014,"6,959","32,500","3,677","8,166","6,017","5,330","14,631","5,862","9,464"
Wednesday,08/10/2014,"6,778","33,714","8,953","8,931","6,259","10,027","14,615","5,553","8,980"
Thursday,09/10/2014,"6,570","33,708","5,580","8,479","6,264","12,720","14,395","5,196","8,465"
Friday,10/10/2014,"7,342","36,839","6,412","10,620","7,547","7,914","16,740","6,655","9,882"
Saturday,11/10/2014,"8,254","42,909","8,895","13,796","10,081","12,488","18,345","10,243","13,947"
Sunday,12/10/2014,"6,465","31,897","5,326","8,299","5,514","8,469","13,815","6,814","10,636"
Monday,13/10/2014,"5,835","33,217","3,353","7,460","5,177","6,258","14,130","5,753","9,915"
Tuesday,14/10/2014,"6,699","35,719","9,747","8,638","6,269","14,538","15,487","5,678","10,368"
Wednesday,15/10/2014,"7,091","37,489","10,173","9,712","6,818","14,786","16,516","6,323","10,489"
Thursday,16/10/2014,"7,201","37,722","10,110","9,319","6,118","13,771","15,949","5,917","10,137"
Friday,17/10/2014,"7,821","39,330","9,935","11,163","7,958","19,138","17,882","6,989","11,541"
Saturday,18/10/2014,"8,158","45,489","10,714","14,844","9,439","19,073","18,944","9,241","13,269"
Sunday,19/10/2014,"5,730","29,510","6,749","8,317","4,700","11,836","13,788","6,034","10,598"
Monday,20/10/2014,"6,985","33,320","9,177","8,182","5,448","11,526","15,107","5,722","10,071"
Tuesday,21/10/2014,"6,523","31,043","9,235","7,637","5,282","11,240","14,261","5,325","9,651"
Wednesday,22/10/2014,"7,376","33,584","9,986","8,298","6,044","11,925","14,739","5,405","9,640"
Thursday,23/10/2014,"7,001","35,263","9,785","9,810","6,587","10,029","15,600","5,642","9,644"
Friday,24/10/2014,"8,005","40,270","11,838","11,810","8,869","15,263","18,245","7,145","10,753"
Saturday,25/10/2014,"8,063","46,228","13,621","15,451","10,958","19,584","19,925","10,708","14,738"
Sunday,26/10/2014,"6,568","31,638","6,698","8,807","5,621","8,106","14,002","6,635","11,361"
Monday,27/10/2014,"6,926","37,414","9,670","9,418","7,330","14,342","16,087","6,699","13,225"
Tuesday,28/10/2014,"6,199","34,072","9,435","8,119","6,448","11,367","15,242","6,184","11,486"
Wednesday,29/10/2014,"7,811","40,851","12,016","10,618","7,749","12,511","17,773","7,987","12,861"
Thursday,30/10/2014,"7,341","42,725","11,075","11,667","8,234","12,145","17,171","7,489","12,678"
Friday,31/10/2014,"8,727","45,309","10,256","12,696","8,929","19,536","19,881","8,189","15,410"
